"the_geom","OBJECTID","Loc","Borough","Street_Nam","From_Stree","To_Street","Iex","May07_AM","May07_PM","May07_MD","Sept07_AM","Sept07_PM","Sept07_MD","May08_AM","May08_PM","May08_MD","Sept08_AM","Sept08_PM","Sept08_MD","May09_AM","May09_PM","May09_MD","Sept09_AM","Sept09_PM","Sept09_MD","May10_AM","May10_PM","May10_MD","Sept10_AM","Sept10_PM","Sept10_MD","May11_AM","May11_PM","May11_MD","Sept11_AM","Sept11_PM","Sept11_MD","May12_AM","May12_PM","May12_MD","Sept12_AM","Sept12_PM","Sept12_MD","May13_AM","May13_PM","May13_MD","Sept13_AM","Sept13_PM","Sept13_MD","May14_AM","May14_PM","May14_MD","Sept14_AM","Sept14_PM","Sept14_MD","May15_AM","May15_PM","May15_MD","Sept15_AM","Sept15_PM","Sept15_MD","May16_AM","May16_PM","May16_MD","Sept16_AM","Sept16_PM","Sept16_MD","May17_AM","May17_PM","May17_MD","Sept17_AM","Sept17_PM","Sept17_MD","May18_AM","May18_PM","May18_MD","Sept18_AM","Sept18_PM","Sept18_MD","May19_AM","May19_PM","May19_MD","Oct20_AM","Oct20_PM","Oct20_MD","May21_AM","May21_PM","May21_MD","Oct21_AM","Oct21_PM","Oct21_MD","May22_AM","May22_pM","May22_MD","Oct22_AM","Oct22_PM","Oct22_MD","May23_AM","May23_pM","May23_MD","Oct23_AM","Oct23_PM","Oct23_MD","June24_AM","June24_PM","June24_MD","Oct24_AM","Oct24_PM","Oct24_MD","May25_AM","May25_PM","May25_MD"
"POINT (-73.90459140730678 40.87919896648574)","1","1","Bronx","Broadway","West 231st Street","Naples Terrace","N","1.189","4.094","2.508","734","2.646","2.939","802","4.015","2.631","1.125","4.310","3.420","1.001","3.475","2.832","991","4.262","2.469","1.010","3.609","3.128","863","4.119","2.217","997","4.440","2.687","1.328","3.820","2.428","1.288","3.328","3.365","1.268","4.315","2.276","1.210","4.710","3.825","1.206","4.590","3.008","1.220","4.384","2.641","1.450","4.646","2.996","1.788","4.980","3.033","1.204","4.520","2.999","1.246","4.531","2.686","1.309","3.642","2.830","1.916","5.893","2.776","1.111","4.044","2.731","1.271","4.502","2.899","1.708","4.464","2.967","0","0","0","486","2.843","1.754","630","3.262","1.710","808","2.807","2.230","737","2.343","1.883","745","2.637","2.241","1.897","5.018","2.496","935","3.759","1.745","901","3.482","2.052","1.031","4.097","2229","811","2.420","2.224"
"POINT (-73.92188432870218 40.82662794123292)","2","2","Bronx","East 161st Street","Gra Concourse","Sheridan Avenue","Y","1.511","3.184","1.971","1.855","3.754","1.183","1.136","2.638","1.522","1.939","3.283","1.383","1.351","3.111","1.304","1.227","3.137","2.762","2.077","3.283","1.409","1.007","3.069","1.477","1.734","3.333","1.772","2.051","3.525","1.752","1.233","1.875","1.912","2.113","4.099","1.970","2.278","4.215","2.288","2.071","3.890","1.832","2.206","4.363","2.315","1.949","4.435","2.388","2.318","4.589","2.483","2.005","4.790","2.512","2.053","4.721","2.311","2.109","5.485","2.548","1.848","4.920","2.143","2.389","5.952","2.832","1.749","5.148","2.156","2.006","4.723","1.604","1.702","4.347","1.576","780","1.892","1.287","1.405","2.097","1.410","2.191","3.786","1.770","2.242","4.227","2.168","2.608","4.277","1.867","2.384","4.600","2.064","2.822","5.050","1.287","2.113","4.155","1.493","3.016","4.685","1655","2.928","4.168","2.468"
"POINT (-73.89535781584335 40.86215460031517)","3","3","Bronx","East Fordham Road","Valentine Avenue","Tiebout Avenue","Y","1.832","12.311","14.391","1.829","9.215","15.065","1.061","8.013","7.927","2.497","10.010","8.013","1.689","8.374","7.472","2.387","10.655","6.614","2.285","10.943","10.424","2.807","12.658","7.714","2.289","15.890","9.167","2.679","13.548","8.140","2.125","7.635","7.022","2.704","10.486","7.421","2.710","12.723","8.872","2.651","10.613","8.241","2.699","12.490","6.339","2.752","10.408","8.266","2.382","11.216","7.574","2.733","10.586","9.072","2.540","11.272","8.422","2.422","11.145","9.775","2.557","12.125","6.499","2.783","12.388","7.076","2.209","9.634","7.066","2.246","8.931","6.212","1.625","11.739","7.468","972","6.976","5.058","942","5.576","4.402","1.798","7.296","4.864","1.501","5.950","4.987","1.662","6.572","4.765","1.654","6.918","4.696","1.560","6.880","2.453","1.485","7.125","3.819","1.689","6.405","4417","1.599","4.936","4.688"
"POINT (-73.87892467324478 40.8812869959873)","4","4","Bronx","East Gun Hill Road","Bainbridge Avenue","Rochambeau Avenue","N","764","2.673","1.798","1.360","1.975","872","2.102","3.206","1.989","3.020","3.915","1.662","1.536","2.997","1.672","2.097","3.135","1.591","2.954","3.962","1.717","1.622","3.006","1.344","1.661","2.844","1.510","1.996","2.836","1.587","1.906","2.066","1.261","2.371","3.500","1.620","2.052","3.981","1.979","2.373","3.660","1.914","2.096","3.378","1.333","2.382","3.425","1.339","1.757","3.561","1.714","2.256","2.923","1.574","2.066","2.944","1.752","2.017","2.771","1.459","2.125","3.130","1.123","2.453","3.429","1.551","1.648","2.892","1.323","1.944","2.682","1.693","0","0","0","953","2.063","1.185","946","1.211","1.161","1.503","1.978","689","1.350","2.082","1.063","1.448","2.120","1.032","1.398","2.280","1.303","1.404","2.089","807","1.394","2.023","1.190","1.495","2.474","1073","1.261","1.779","1.133"
"POINT (-73.88956389732787 40.844636776717664)","5","5","Bronx","East Tremont Avenue","Prospect Avenue","Clinton Avenue","N","650","2.538","2.334","1.078","2.739","2.343","553","2.438","1.652","756","3.095","1.374","684","2.660","2.604","912","3.637","2.339","1.075","5.823","4.085","1.012","5.785","3.758","1.093","6.119","4.274","1.049","5.859","3.934","627","1.503","2.371","959","3.140","2.273","1.007","4.175","2.854","760","3.488","2.805","971","3.586","2.460","1.019","3.184","2.366","1.055","3.710","2.554","1.063","3.296","2.466","993","3.625","2.492","1.101","3.336","2.501","980","3.700","2.526","1.082","3.330","2.479","1.016","3.781","2.565","975","3.761","2.461","0","0","0","357","1.997","1.719","444","2.382","1.384","714","2.356","1.502","669","1.508","1.606","774","2.084","1.611","730","2.077","1.578","786","2.140","1.115","550","1.455","1.563","725","2.329","1888","714","1.585","1.522"
"POINT (-73.92087824799184 40.83015855511035)","6","6","Bronx","Gra Concourse","East 164th Street","East 165th Street","Y","489","1.235","835","873","1.457","631","634","1.554","856","771","1.445","744","605","1.271","539","599","1.028","750","597","1.426","669","634","1.341","738","753","1.394","891","802","1.396","859","838","1.372","1.069","936","1.743","1.059","912","2.059","1.037","963","1.726","973","858","2.035","1.042","972","1.902","1.097","839","2.023","1.059","999","1.948","1.161","767","1.933","1.010","982","1.971","1.165","740","1.909","925","962","1.872","1.199","757","1.933","956","1.158","1.986","686","694","1.881","816","511","1.459","689","500","878","586","919","1.416","886","718","1.121","806","684","1.175","1.146","551","1.194","780","538","1.035","537","621","1.403","478","684","1.356","644","1.213","1.558","849"
"POINT (-73.91635737290386 40.81688745834867)","7","7","Bronx","Third Avenue","East 150th Street","East 151st Street","Y","703","8.776","2.865","858","6.503","5.501","636","6.123","4.461","1.499","5.803","4.251","1.696","7.236","3.540","1.446","6.730","7.409","1.624","6.877","4.565","1.701","6.922","4.866","1.773","7.138","5.866","1.937","7.050","4.951","1.367","6.961","5.551","1.604","7.500","5.012","2.097","8.853","6.599","1.231","6.701","4.294","2.161","9.048","6.717","1.648","9.057","6.785","2.165","9.285","6.721","1.690","7.894","6.844","2.059","9.097","6.688","1.689","7.885","6.900","2.027","9.045","6.683","1.702","7.883","6.921","1.817","9.048","5.956","1.649","9.087","4.470","1.136","6.589","4.967","778","4.641","3.020","567","2.571","3.433","1.138","5.781","3.287","995","5.361","3.866","1.260","5.443","3.324","1.594","6.292","4.086","1.352","5.744","2.439","1.037","6.293","3.353","1.400","5.356","3078","1.354","4.288","3.404"
"POINT (-73.86767352599497 40.85558871971955)","8","8","Bronx","White Plains Road","Pelham Parkway South","Lydig Avenue","Y","1.025","4.039","3.991","1.743","4.667","3.309","1.638","4.798","4.858","1.056","3.194","2.489","990","3.490","3.335","1.461","5.090","2.526","1.375","4.834","3.095","1.568","4.386","2.217","1.545","4.402","2.985","1.689","3.016","2.360","1.626","3.415","3.828","1.591","5.398","3.851","1.410","4.232","3.007","1.479","4.910","4.056","1.495","5.166","2.540","1.769","4.114","2.893","1.512","4.333","3.122","1.537","4.379","3.092","1.638","5.900","2.582","1.377","4.098","2.730","1.186","4.673","3.420","2.023","5.520","3.166","1.601","5.059","3.391","1.493","4.011","2.566","1.305","5.007","3.326","728","3.556","2.238","763","4.344","2.204","1.108","3.983","2.891","1.263","4.291","2.491","1.003","3.493","2.441","1.096","4.096","2.655","1.092","3.891","1.589","1.035","4.040","2.130","1.227","3.765","2205","973","3.085","2.193"
"POINT (-74.01119296689038 40.64426682358741)","9","9","Brooklyn","5th Avenue","51st Street","52 Street","Y","856","5.940","4.354","900","5.435","5.081","886","7.054","4.806","1.062","5.072","5.901","914","5.730","4.619","1.364","5.475","4.740","982","5.570","5.371","946","5.585","4.577","1.350","7.743","6.135","1.445","8.170","4.999","1.306","3.662","4.731","1.419","4.864","6.325","1.457","6.509","6.070","1.658","6.627","5.690","1.522","7.718","6.313","1.721","7.988","6.391","1.791","7.802","6.762","1.655","7.502","6.082","1.531","7.296","6.014","1.642","8.130","5.763","1.517","7.384","5.356","1.563","4.730","5.563","1.197","4.909","4.515","1.210","4.821","4.401","652","1.402","1.125","0","0","0","1.677","9.439","5.579","1.221","4.455","4.151","1.167","4.184","3.781","948","3.673","3.978","3.229","14.631","10.699","1.096","4.642","3.791","1.030","4.297","3.027","1.172","4.990","3355","997","4.271","3.592"
"POINT (-73.98067647018506 40.676093537146265)","10","10","Brooklyn","5th Avenue","Union Street","President Street","Y","504","2.207","2.225","422","2.167","1.627","672","2.707","966","487","1.898","2.321","469","2.547","2.259","774","2.310","1.690","582","2.274","2.808","661","3.063","2.141","631","2.915","2.852","591","2.848","2.307","666","1.414","2.620","723","3.255","2.468","688","2.764","2.554","794","2.513","2.591","800","3.051","3.080","955","2.390","1.962","900","2.492","3.081","922","2.955","2.681","941","2.751","3.131","951","2.911","2.248","812","2.570","2.298","905","2.463","1.679","743","2.252","2.286","736","2.297","2.196","849","6.007","4.865","539","1.983","3.144","536","2.564","1.429","713","2.334","2.118","646","2.499","2.503","592","2.091","2.416","657","2.464","2.456","604","2.239","2.389","570","2.185","1.615","694","2.284","2360","669","2.600","2.469"
"POINT (-73.98134205800814 40.66717415129596)","11","11","Brooklyn","7th Avenue","9th Street","8th Street","Y","2.345","4.089","2.519","2.167","3.801","1.917","3.259","4.733","2.682","2.646","3.900","3.110","2.233","3.986","2.944","2.718","4.033","2.212","2.635","3.881","3.436","2.888","5.261","2.611","2.713","4.018","3.026","1.944","3.832","2.311","2.583","2.641","3.858","3.050","4.019","3.058","2.917","4.540","3.242","3.241","4.642","2.709","3.479","3.914","3.293","3.009","3.314","2.215","2.165","3.920","2.742","3.553","4.217","2.050","3.134","4.792","2.925","1.838","4.557","2.520","3.108","4.288","3.721","3.494","4.122","2.450","3.112","4.227","2.968","3.567","3.764","1.605","2.117","4.767","2.966","1.128","2.731","2.452","1.646","3.313","1.747","2.606","3.506","1.935","2.629","4.522","1.986","2.959","3.343","2.065","2.747","3.618","2.457","3.031","3.989","2.204","2.229","3.773","1.987","2.945","3.935","2239","3.167","4.330","2.854"
"POINT (-74.02728680504437 40.622138829200395)","12","12","Brooklyn","86th Street","4th Avenue","5th Avenue","Y","983","4.193","3.886","1.073","5.202","3.402","1.119","5.128","4.606","1.092","4.946","4.323","1.049","4.674","4.406","1.038","4.032","2.629","1.012","4.519","4.063","1.039","4.462","3.549","1.211","5.288","4.464","1.236","6.226","4.179","1.118","3.466","6.416","1.533","5.237","4.778","1.406","5.814","5.289","1.452","5.233","5.124","1.534","5.281","4.049","1.177","5.615","3.740","1.473","6.828","5.036","1.678","5.514","4.362","1.456","4.475","5.356","1.561","6.338","5.412","1.611","6.632","4.163","1.441","5.004","3.638","1.507","5.359","3.652","1.468","5.708","3.513","1.149","5.605","4.176","741","3.702","3.152","720","3.523","1.547","1.108","3.376","2.391","1.084","3.788","2.375","1.157","3.869","2.970","1.744","4.841","2.351","1.101","3.673","2.164","1.512","4.308","2.126","1.864","6.004","2702","1.260","4.737","2.753"
"POINT (-73.98983165443038 40.68884781602201)","13","13","Brooklyn","Atlantic Avenue","Boerum Place","Smith Street","N","357","889","836","356","1.063","831","473","1.335","742","411","1.147","984","363","1.216","865","228","902","766","387","1.701","1.189","399","1.385","967","366","1.273","1.284","376","1.175","1.366","397","756","1.374","499","1.182","1.469","442","1.637","1.402","506","1.561","1.309","440","1.605","1.816","518","1.497","1.340","462","1.528","1.272","498","1.807","962","583","1.916","1.914","561","1.706","1.385","553","2.253","2.134","603","2.018","1.935","581","2.219","2.137","598","2.133","1.466","0","0","0","395","1.516","2.084","456","1.626","1.093","544","1.888","1.600","437","1.823","1.640","475","1.734","2.134","502","2.301","1.610","578","1.930","1.985","410","2.002","1.314","501","2.269","1956","569","2.233","1.825"
"POINT (-73.95802234844946 40.71755737770773)","14","14","Brooklyn","Bedford Avenue","North 7th Street","North 6th Street","Y","1.852","4.462","3.432","1.875","3.619","3.254","1.823","4.299","3.526","1.951","4.778","4.048","1.544","5.501","4.110","2.001","5.136","4.045","2.179","5.234","4.727","1.773","5.090","4.184","2.434","6.391","5.872","2.109","5.692","3.690","2.817","4.144","5.649","1.984","6.429","5.619","2.300","6.527","6.351","2.593","6.261","5.405","2.585","6.453","4.951","3.463","7.600","5.494","2.765","7.266","4.585","2.714","6.300","4.630","2.621","6.058","5.038","3.410","8.301","5.014","2.930","8.736","6.209","2.566","6.127","3.572","2.938","7.961","4.897","3.234","7.524","7.034","3.120","8.882","5.323","1.224","4.210","4.297","1.708","4.472","3.315","2.471","5.750","4.804","2.657","7.338","5.603","3.033","7.532","4.772","2.712","7.657","4.914","3.187","8.120","4.335","1.094","4.587","4.194","1.135","4.835","4316","3.524","8.882","6.502"
